claim_id,email_id,run_id,professor_id,condition,seed,verification_applied,original_claim_id
E-0009_c02,E-0009,BIO-02_D_2,BIO-02,D,2,True,BIO-02_D_2_c2
E-0009_c03,E-0009,BIO-02_D_2,BIO-02,D,2,True,BIO-02_D_2_c3
E-0010_c01,E-0010,CS-04_C_1,CS-04,C,1,True,CS-04_C_1_c1
E-0010_c02,E-0010,CS-04_C_1,CS-04,C,1,True,CS-04_C_1_c2
E-0010_c03,E-0010,CS-04_C_1,CS-04,C,1,True,CS-04_C_1_c3
E-0010_c04,E-0010,CS-04_C_1,CS-04,C,1,True,CS-04_C_1_c4
E-0011_c01,E-0011,CS-04_D_2,CS-04,D,2,True,CS-04_D_2_c1
E-0011_c02,E-0011,CS-04_D_2,CS-04,D,2,True,CS-04_D_2_c2
E-0011_c03,E-0011,CS-04_D_2,CS-04,D,2,True,CS-04_D_2_c3
E-0011_c04,E-0011,CS-04_D_2,CS-04,D,2,True,CS-04_D_2_c4
E-0012_c01,E-0012,BIO-02_B_1,BIO-02,B,1,False,BIO-02_B_1_c1
E-0012_c02,E-0012,BIO-02_B_1,BIO-02,B,1,False,BIO-02_B_1_c2
E-0012_c03,E-0012,BIO-02_B_1,BIO-02,B,1,False,BIO-02_B_1_c3
E-0012_c04,E-0012,BIO-02_B_1,BIO-02,B,1,False,BIO-02_B_1_c4
E-0013_c01,E-0013,CS-03_C_1,CS-03,C,1,True,CS-03_C_1_c1
E-0013_c02,E-0013,CS-03_C_1,CS-03,C,1,True,CS-03_C_1_c2
E-0014_c01,E-0014,PSY-02_B_1,PSY-02,B,1,False,PSY-02_B_1_c1
E-0014_c02,E-0014,PSY-02_B_1,PSY-02,B,1,False,PSY-02_B_1_c2
E-0014_c03,E-0014,PSY-02_B_1,PSY-02,B,1,False,PSY-02_B_1_c3
E-0015_c01,E-0015,CS-03_B_2,CS-03,B,2,False,CS-03_B_2_c1
E-0015_c02,E-0015,CS-03_B_2,CS-03,B,2,False,CS-03_B_2_c2
E-0016_c01,E-0016,PSY-04_A_2,PSY-04,A,2,False,PSY-04_A_2_c1
E-0016_c02,E-0016,PSY-04_A_2,PSY-04,A,2,False,PSY-04_A_2_c2
E-0016_c03,E-0016,PSY-04_A_2,PSY-04,A,2,False,PSY-04_A_2_c3
E-0017_c01,E-0017,CS-03_A_2,CS-03,A,2,False,CS-03_A_2_c1
E-0017_c02,E-0017,CS-03_A_2,CS-03,A,2,False,CS-03_A_2_c2
E-0018_c01,E-0018,CS-02_A_2,CS-02,A,2,False,CS-02_A_2_c1
E-0018_c02,E-0018,CS-02_A_2,CS-02,A,2,False,CS-02_A_2_c2
E-0018_c03,E-0018,CS-02_A_2,CS-02,A,2,False,CS-02_A_2_c3
E-0018_c04,E-0018,CS-02_A_2,CS-02,A,2,False,CS-02_A_2_c4
E-0019_c01,E-0019,PSY-01_A_2,PSY-01,A,2,False,PSY-01_A_2_c1
E-0019_c02,E-0019,PSY-01_A_2,PSY-01,A,2,False,PSY-01_A_2_c2
E-0019_c03,E-0019,PSY-01_A_2,PSY-01,A,2,False,PSY-01_A_2_c3
E-0019_c04,E-0019,PSY-01_A_2,PSY-01,A,2,False,PSY-01_A_2_c4
E-0020_c01,E-0020,BIO-04_D_1,BIO-04,D,1,True,BIO-04_D_1_c1
E-0020_c02,E-0020,BIO-04_D_1,BIO-04,D,1,True,BIO-04_D_1_c2
E-0020_c03,E-0020,BIO-04_D_1,BIO-04,D,1,True,BIO-04_D_1_c3
E-0020_c04,E-0020,BIO-04_D_1,BIO-04,D,1,True,BIO-04_D_1_c4
E-0021_c01,E-0021,CS-03_D_2,CS-03,D,2,True,CS-03_D_2_c1
E-0021_c02,E-0021,CS-03_D_2,CS-03,D,2,True,CS-03_D_2_c2
E-0021_c03,E-0021,CS-03_D_2,CS-03,D,2,True,CS-03_D_2_c3
E-0022_c01,E-0022,PSY-02_A_1,PSY-02,A,1,False,PSY-02_A_1_c1
E-0022_c02,E-0022,PSY-02_A_1,PSY-02,A,1,False,PSY-02_A_1_c2
E-0022_c03,E-0022,PSY-02_A_1,PSY-02,A,1,False,PSY-02_A_1_c3
E-0023_c01,E-0023,CS-02_C_2,CS-02,C,2,True,CS-02_C_2_c1
E-0023_c02,E-0023,CS-02_C_2,CS-02,C,2,True,CS-02_C_2_c2
E-0023_c03,E-0023,CS-02_C_2,CS-02,C,2,True,CS-02_C_2_c3
E-0023_c04,E-0023,CS-02_C_2,CS-02,C,2,True,CS-02_C_2_c4
E-0023_c05,E-0023,CS-02_C_2,CS-02,C,2,True,CS-02_C_2_c5
E-0024_c01,E-0024,CS-01_A_1,CS-01,A,1,False,CS-01_A_1_c1
E-0024_c02,E-0024,CS-01_A_1,CS-01,A,1,False,CS-01_A_1_c2
E-0024_c03,E-0024,CS-01_A_1,CS-01,A,1,False,CS-01_A_1_c3
E-0024_c04,E-0024,CS-01_A_1,CS-01,A,1,False,CS-01_A_1_c4
E-0025_c01,E-0025,PSY-03_A_1,PSY-03,A,1,False,PSY-03_A_1_c1
E-0025_c02,E-0025,PSY-03_A_1,PSY-03,A,1,False,PSY-03_A_1_c2
E-0025_c03,E-0025,PSY-03_A_1,PSY-03,A,1,False,PSY-03_A_1_c3
E-0025_c04,E-0025,PSY-03_A_1,PSY-03,A,1,False,PSY-03_A_1_c4
E-0026_c01,E-0026,PSY-01_B_2,PSY-01,B,2,False,PSY-01_B_2_c1
E-0026_c02,E-0026,PSY-01_B_2,PSY-01,B,2,False,PSY-01_B_2_c2
E-0026_c03,E-0026,PSY-01_B_2,PSY-01,B,2,False,PSY-01_B_2_c3
E-0026_c04,E-0026,PSY-01_B_2,PSY-01,B,2,False,PSY-01_B_2_c4
E-0026_c05,E-0026,PSY-01_B_2,PSY-01,B,2,False,PSY-01_B_2_c5
E-0026_c06,E-0026,PSY-01_B_2,PSY-01,B,2,False,PSY-01_B_2_c6
E-0027_c01,E-0027,PSY-04_B_2,PSY-04,B,2,False,PSY-04_B_2_c1
E-0027_c02,E-0027,PSY-04_B_2,PSY-04,B,2,False,PSY-04_B_2_c2
E-0028_c01,E-0028,BIO-02_A_1,BIO-02,A,1,False,BIO-02_A_1_c1
E-0028_c02,E-0028,BIO-02_A_1,BIO-02,A,1,False,BIO-02_A_1_c2
E-0028_c03,E-0028,BIO-02_A_1,BIO-02,A,1,False,BIO-02_A_1_c3
E-0028_c04,E-0028,BIO-02_A_1,BIO-02,A,1,False,BIO-02_A_1_c4
E-0028_c05,E-0028,BIO-02_A_1,BIO-02,A,1,False,BIO-02_A_1_c5
E-0028_c06,E-0028,BIO-02_A_1,BIO-02,A,1,False,BIO-02_A_1_c6
E-0029_c01,E-0029,CS-01_C_2,CS-01,C,2,True,CS-01_C_2_c1
E-0029_c02,E-0029,CS-01_C_2,CS-01,C,2,True,CS-01_C_2_c2
E-0030_c01,E-0030,PSY-02_C_1,PSY-02,C,1,True,PSY-02_C_1_c1
E-0030_c02,E-0030,PSY-02_C_1,PSY-02,C,1,True,PSY-02_C_1_c2
E-0030_c03,E-0030,PSY-02_C_1,PSY-02,C,1,True,PSY-02_C_1_c3
E-0031_c01,E-0031,PSY-02_D_2,PSY-02,D,2,True,PSY-02_D_2_c1
E-0031_c02,E-0031,PSY-02_D_2,PSY-02,D,2,True,PSY-02_D_2_c2
E-0031_c03,E-0031,PSY-02_D_2,PSY-02,D,2,True,PSY-02_D_2_c3
E-0031_c04,E-0031,PSY-02_D_2,PSY-02,D,2,True,PSY-02_D_2_c4
E-0032_c01,E-0032,CS-02_D_2,CS-02,D,2,True,CS-02_D_2_c1
E-0032_c02,E-0032,CS-02_D_2,CS-02,D,2,True,CS-02_D_2_c2
E-0033_c01,E-0033,CS-02_C_1,CS-02,C,1,True,CS-02_C_1_c1
E-0033_c02,E-0033,CS-02_C_1,CS-02,C,1,True,CS-02_C_1_c2
E-0033_c03,E-0033,CS-02_C_1,CS-02,C,1,True,CS-02_C_1_c3
E-0034_c01,E-0034,CS-02_B_1,CS-02,B,1,False,CS-02_B_1_c1
E-0034_c02,E-0034,CS-02_B_1,CS-02,B,1,False,CS-02_B_1_c2
E-0034_c03,E-0034,CS-02_B_1,CS-02,B,1,False,CS-02_B_1_c3
E-0034_c04,E-0034,CS-02_B_1,CS-02,B,1,False,CS-02_B_1_c4
E-0034_c05,E-0034,CS-02_B_1,CS-02,B,1,False,CS-02_B_1_c5
E-0034_c06,E-0034,CS-02_B_1,CS-02,B,1,False,CS-02_B_1_c6
E-0035_c01,E-0035,PSY-04_D_1,PSY-04,D,1,True,PSY-04_D_1_c1
E-0035_c02,E-0035,PSY-04_D_1,PSY-04,D,1,True,PSY-04_D_1_c2
E-0035_c03,E-0035,PSY-04_D_1,PSY-04,D,1,True,PSY-04_D_1_c3
E-0035_c04,E-0035,PSY-04_D_1,PSY-04,D,1,True,PSY-04_D_1_c4
E-0036_c01,E-0036,CS-03_B_1,CS-03,B,1,False,CS-03_B_1_c1
E-0036_c02,E-0036,CS-03_B_1,CS-03,B,1,False,CS-03_B_1_c2
E-0036_c03,E-0036,CS-03_B_1,CS-03,B,1,False,CS-03_B_1_c3
E-0036_c04,E-0036,CS-03_B_1,CS-03,B,1,False,CS-03_B_1_c4
E-0036_c05,E-0036,CS-03_B_1,CS-03,B,1,False,CS-03_B_1_c5
E-0037_c01,E-0037,PSY-03_B_1,PSY-03,B,1,False,PSY-03_B_1_c1
E-0037_c02,E-0037,PSY-03_B_1,PSY-03,B,1,False,PSY-03_B_1_c2
E-0037_c03,E-0037,PSY-03_B_1,PSY-03,B,1,False,PSY-03_B_1_c3
E-0037_c04,E-0037,PSY-03_B_1,PSY-03,B,1,False,PSY-03_B_1_c4
E-0037_c05,E-0037,PSY-03_B_1,PSY-03,B,1,False,PSY-03_B_1_c5
E-0038_c01,E-0038,BIO-02_C_1,BIO-02,C,1,True,BIO-02_C_1_c1
E-0038_c02,E-0038,BIO-02_C_1,BIO-02,C,1,True,BIO-02_C_1_c2
E-0039_c01,E-0039,CS-01_C_1,CS-01,C,1,True,CS-01_C_1_c1
E-0039_c02,E-0039,CS-01_C_1,CS-01,C,1,True,CS-01_C_1_c2
E-0039_c03,E-0039,CS-01_C_1,CS-01,C,1,True,CS-01_C_1_c3
E-0039_c04,E-0039,CS-01_C_1,CS-01,C,1,True,CS-01_C_1_c4
E-0039_c05,E-0039,CS-01_C_1,CS-01,C,1,True,CS-01_C_1_c5
E-0040_c01,E-0040,BIO-03_D_2,BIO-03,D,2,True,BIO-03_D_2_c1
E-0040_c02,E-0040,BIO-03_D_2,BIO-03,D,2,True,BIO-03_D_2_c2
E-0040_c03,E-0040,BIO-03_D_2,BIO-03,D,2,True,BIO-03_D_2_c3
E-0041_c01,E-0041,CS-01_D_2,CS-01,D,2,True,CS-01_D_2_c1
E-0041_c02,E-0041,CS-01_D_2,CS-01,D,2,True,CS-01_D_2_c2
E-0041_c03,E-0041,CS-01_D_2,CS-01,D,2,True,CS-01_D_2_c3
E-0041_c04,E-0041,CS-01_D_2,CS-01,D,2,True,CS-01_D_2_c4
E-0041_c05,E-0041,CS-01_D_2,CS-01,D,2,True,CS-01_D_2_c5
E-0041_c06,E-0041,CS-01_D_2,CS-01,D,2,True,CS-01_D_2_c6
E-0042_c01,E-0042,CS-02_A_1,CS-02,A,1,False,CS-02_A_1_c1
E-0042_c02,E-0042,CS-02_A_1,CS-02,A,1,False,CS-02_A_1_c2
E-0042_c03,E-0042,CS-02_A_1,CS-02,A,1,False,CS-02_A_1_c3
E-0043_c01,E-0043,BIO-03_B_1,BIO-03,B,1,False,BIO-03_B_1_c1
E-0043_c02,E-0043,BIO-03_B_1,BIO-03,B,1,False,BIO-03_B_1_c2
E-0043_c03,E-0043,BIO-03_B_1,BIO-03,B,1,False,BIO-03_B_1_c3
E-0043_c04,E-0043,BIO-03_B_1,BIO-03,B,1,False,BIO-03_B_1_c4
E-0044_c01,E-0044,PSY-02_C_2,PSY-02,C,2,True,PSY-02_C_2_c1
E-0044_c02,E-0044,PSY-02_C_2,PSY-02,C,2,True,PSY-02_C_2_c2
E-0045_c01,E-0045,PSY-01_D_1,PSY-01,D,1,True,PSY-01_D_1_c1
E-0045_c02,E-0045,PSY-01_D_1,PSY-01,D,1,True,PSY-01_D_1_c2
E-0045_c03,E-0045,PSY-01_D_1,PSY-01,D,1,True,PSY-01_D_1_c3
E-0045_c04,E-0045,PSY-01_D_1,PSY-01,D,1,True,PSY-01_D_1_c4
E-0046_c01,E-0046,CS-04_A_1,CS-04,A,1,False,CS-04_A_1_c1
E-0046_c02,E-0046,CS-04_A_1,CS-04,A,1,False,CS-04_A_1_c2
E-0046_c03,E-0046,CS-04_A_1,CS-04,A,1,False,CS-04_A_1_c3
E-0046_c04,E-0046,CS-04_A_1,CS-04,A,1,False,CS-04_A_1_c4
E-0046_c05,E-0046,CS-04_A_1,CS-04,A,1,False,CS-04_A_1_c5
E-0046_c06,E-0046,CS-04_A_1,CS-04,A,1,False,CS-04_A_1_c6
E-0046_c07,E-0046,CS-04_A_1,CS-04,A,1,False,CS-04_A_1_c7
E-0047_c01,E-0047,BIO-01_D_2,BIO-01,D,2,True,BIO-01_D_2_c1
E-0047_c02,E-0047,BIO-01_D_2,BIO-01,D,2,True,BIO-01_D_2_c2
E-0047_c03,E-0047,BIO-01_D_2,BIO-01,D,2,True,BIO-01_D_2_c3
E-0047_c04,E-0047,BIO-01_D_2,BIO-01,D,2,True,BIO-01_D_2_c4
E-0047_c05,E-0047,BIO-01_D_2,BIO-01,D,2,True,BIO-01_D_2_c5
E-0047_c06,E-0047,BIO-01_D_2,BIO-01,D,2,True,BIO-01_D_2_c6
E-0048_c01,E-0048,CS-01_B_1,CS-01,B,1,False,CS-01_B_1_c1
E-0048_c02,E-0048,CS-01_B_1,CS-01,B,1,False,CS-01_B_1_c2
E-0048_c03,E-0048,CS-01_B_1,CS-01,B,1,False,CS-01_B_1_c3
E-0048_c04,E-0048,CS-01_B_1,CS-01,B,1,False,CS-01_B_1_c4
E-0049_c01,E-0049,PSY-02_D_1,PSY-02,D,1,True,PSY-02_D_1_c1
E-0049_c02,E-0049,PSY-02_D_1,PSY-02,D,1,True,PSY-02_D_1_c2
E-0049_c03,E-0049,PSY-02_D_1,PSY-02,D,1,True,PSY-02_D_1_c3
E-0049_c04,E-0049,PSY-02_D_1,PSY-02,D,1,True,PSY-02_D_1_c4
E-0049_c05,E-0049,PSY-02_D_1,PSY-02,D,1,True,PSY-02_D_1_c5
E-0049_c06,E-0049,PSY-02_D_1,PSY-02,D,1,True,PSY-02_D_1_c6
E-0049_c07,E-0049,PSY-02_D_1,PSY-02,D,1,True,PSY-02_D_1_c7
E-0049_c08,E-0049,PSY-02_D_1,PSY-02,D,1,True,PSY-02_D_1_c8
E-0050_c01,E-0050,CS-02_D_1,CS-02,D,1,True,CS-02_D_1_c1
E-0050_c02,E-0050,CS-02_D_1,CS-02,D,1,True,CS-02_D_1_c2
E-0051_c01,E-0051,BIO-01_B_1,BIO-01,B,1,False,BIO-01_B_1_c1
E-0051_c02,E-0051,BIO-01_B_1,BIO-01,B,1,False,BIO-01_B_1_c2
E-0051_c03,E-0051,BIO-01_B_1,BIO-01,B,1,False,BIO-01_B_1_c3
E-0051_c04,E-0051,BIO-01_B_1,BIO-01,B,1,False,BIO-01_B_1_c4
E-0051_c05,E-0051,BIO-01_B_1,BIO-01,B,1,False,BIO-01_B_1_c5
E-0052_c01,E-0052,BIO-03_A_1,BIO-03,A,1,False,BIO-03_A_1_c1
E-0052_c02,E-0052,BIO-03_A_1,BIO-03,A,1,False,BIO-03_A_1_c2
E-0053_c01,E-0053,CS-01_D_1,CS-01,D,1,True,CS-01_D_1_c1
E-0053_c02,E-0053,CS-01_D_1,CS-01,D,1,True,CS-01_D_1_c2
E-0053_c03,E-0053,CS-01_D_1,CS-01,D,1,True,CS-01_D_1_c3
E-0053_c04,E-0053,CS-01_D_1,CS-01,D,1,True,CS-01_D_1_c4
E-0053_c05,E-0053,CS-01_D_1,CS-01,D,1,True,CS-01_D_1_c5
E-0054_c01,E-0054,PSY-01_B_1,PSY-01,B,1,False,PSY-01_B_1_c1
E-0054_c02,E-0054,PSY-01_B_1,PSY-01,B,1,False,PSY-01_B_1_c2
E-0054_c03,E-0054,PSY-01_B_1,PSY-01,B,1,False,PSY-01_B_1_c3
E-0055_c01,E-0055,BIO-03_D_1,BIO-03,D,1,True,BIO-03_D_1_c1
E-0055_c02,E-0055,BIO-03_D_1,BIO-03,D,1,True,BIO-03_D_1_c2
E-0055_c03,E-0055,BIO-03_D_1,BIO-03,D,1,True,BIO-03_D_1_c3
E-0056_c01,E-0056,CS-04_B_1,CS-04,B,1,False,CS-04_B_1_c1
E-0056_c02,E-0056,CS-04_B_1,CS-04,B,1,False,CS-04_B_1_c2
E-0056_c03,E-0056,CS-04_B_1,CS-04,B,1,False,CS-04_B_1_c3
E-0056_c04,E-0056,CS-04_B_1,CS-04,B,1,False,CS-04_B_1_c4
E-0056_c05,E-0056,CS-04_B_1,CS-04,B,1,False,CS-04_B_1_c5
E-0056_c06,E-0056,CS-04_B_1,CS-04,B,1,False,CS-04_B_1_c6
E-0057_c01,E-0057,BIO-04_A_1,BIO-04,A,1,False,BIO-04_A_1_c1
E-0057_c02,E-0057,BIO-04_A_1,BIO-04,A,1,False,BIO-04_A_1_c2
E-0057_c03,E-0057,BIO-04_A_1,BIO-04,A,1,False,BIO-04_A_1_c3
E-0057_c04,E-0057,BIO-04_A_1,BIO-04,A,1,False,BIO-04_A_1_c4
E-0058_c01,E-0058,BIO-01_C_2,BIO-01,C,2,True,BIO-01_C_2_c1
E-0058_c02,E-0058,BIO-01_C_2,BIO-01,C,2,True,BIO-01_C_2_c2
E-0058_c03,E-0058,BIO-01_C_2,BIO-01,C,2,True,BIO-01_C_2_c3
E-0059_c01,E-0059,BIO-01_D_1,BIO-01,D,1,True,BIO-01_D_1_c1
E-0059_c02,E-0059,BIO-01_D_1,BIO-01,D,1,True,BIO-01_D_1_c2
E-0059_c03,E-0059,BIO-01_D_1,BIO-01,D,1,True,BIO-01_D_1_c3
E-0059_c04,E-0059,BIO-01_D_1,BIO-01,D,1,True,BIO-01_D_1_c4
E-0060_c01,E-0060,BIO-03_C_2,BIO-03,C,2,True,BIO-03_C_2_c1
E-0061_c01,E-0061,CS-03_A_1,CS-03,A,1,False,CS-03_A_1_c1
E-0061_c02,E-0061,CS-03_A_1,CS-03,A,1,False,CS-03_A_1_c2
E-0061_c03,E-0061,CS-03_A_1,CS-03,A,1,False,CS-03_A_1_c3
E-0061_c04,E-0061,CS-03_A_1,CS-03,A,1,False,CS-03_A_1_c4
E-0061_c05,E-0061,CS-03_A_1,CS-03,A,1,False,CS-03_A_1_c5
E-0061_c06,E-0061,CS-03_A_1,CS-03,A,1,False,CS-03_A_1_c6
E-0062_c01,E-0062,CS-04_C_2,CS-04,C,2,True,CS-04_C_2_c1
E-0062_c02,E-0062,CS-04_C_2,CS-04,C,2,True,CS-04_C_2_c2
E-0062_c03,E-0062,CS-04_C_2,CS-04,C,2,True,CS-04_C_2_c3
E-0063_c01,E-0063,PSY-04_A_1,PSY-04,A,1,False,PSY-04_A_1_c1
E-0063_c02,E-0063,PSY-04_A_1,PSY-04,A,1,False,PSY-04_A_1_c2
E-0063_c03,E-0063,PSY-04_A_1,PSY-04,A,1,False,PSY-04_A_1_c3
E-0064_c01,E-0064,BIO-03_B_2,BIO-03,B,2,False,BIO-03_B_2_c1
E-0064_c02,E-0064,BIO-03_B_2,BIO-03,B,2,False,BIO-03_B_2_c2
E-0064_c03,E-0064,BIO-03_B_2,BIO-03,B,2,False,BIO-03_B_2_c3
E-0065_c01,E-0065,PSY-02_A_2,PSY-02,A,2,False,PSY-02_A_2_c1
E-0065_c02,E-0065,PSY-02_A_2,PSY-02,A,2,False,PSY-02_A_2_c2
E-0065_c03,E-0065,PSY-02_A_2,PSY-02,A,2,False,PSY-02_A_2_c3
E-0066_c01,E-0066,CS-02_B_2,CS-02,B,2,False,CS-02_B_2_c1
E-0066_c02,E-0066,CS-02_B_2,CS-02,B,2,False,CS-02_B_2_c2
E-0067_c01,E-0067,PSY-03_B_2,PSY-03,B,2,False,PSY-03_B_2_c1
E-0067_c02,E-0067,PSY-03_B_2,PSY-03,B,2,False,PSY-03_B_2_c2
E-0067_c03,E-0067,PSY-03_B_2,PSY-03,B,2,False,PSY-03_B_2_c3
E-0067_c04,E-0067,PSY-03_B_2,PSY-03,B,2,False,PSY-03_B_2_c4
E-0067_c05,E-0067,PSY-03_B_2,PSY-03,B,2,False,PSY-03_B_2_c5
E-0068_c01,E-0068,BIO-03_C_1,BIO-03,C,1,True,BIO-03_C_1_c1
E-0069_c01,E-0069,BIO-01_A_1,BIO-01,A,1,False,BIO-01_A_1_c1
E-0069_c02,E-0069,BIO-01_A_1,BIO-01,A,1,False,BIO-01_A_1_c2
E-0069_c03,E-0069,BIO-01_A_1,BIO-01,A,1,False,BIO-01_A_1_c3
E-0069_c04,E-0069,BIO-01_A_1,BIO-01,A,1,False,BIO-01_A_1_c4
E-0070_c01,E-0070,PSY-04_C_1,PSY-04,C,1,True,PSY-04_C_1_c1
E-0070_c02,E-0070,PSY-04_C_1,PSY-04,C,1,True,PSY-04_C_1_c2
E-0071_c01,E-0071,CS-04_A_2,CS-04,A,2,False,CS-04_A_2_c1
E-0071_c02,E-0071,CS-04_A_2,CS-04,A,2,False,CS-04_A_2_c2
E-0071_c03,E-0071,CS-04_A_2,CS-04,A,2,False,CS-04_A_2_c3
E-0072_c01,E-0072,PSY-04_B_1,PSY-04,B,1,False,PSY-04_B_1_c1
E-0072_c02,E-0072,PSY-04_B_1,PSY-04,B,1,False,PSY-04_B_1_c2
E-0072_c03,E-0072,PSY-04_B_1,PSY-04,B,1,False,PSY-04_B_1_c3
E-0072_c04,E-0072,PSY-04_B_1,PSY-04,B,1,False,PSY-04_B_1_c4
E-0072_c05,E-0072,PSY-04_B_1,PSY-04,B,1,False,PSY-04_B_1_c5
E-0073_c01,E-0073,CS-03_C_2,CS-03,C,2,True,CS-03_C_2_c1
E-0073_c02,E-0073,CS-03_C_2,CS-03,C,2,True,CS-03_C_2_c2
E-0073_c03,E-0073,CS-03_C_2,CS-03,C,2,True,CS-03_C_2_c3
E-0073_c04,E-0073,CS-03_C_2,CS-03,C,2,True,CS-03_C_2_c4
E-0074_c01,E-0074,PSY-03_D_2,PSY-03,D,2,True,PSY-03_D_2_c1
E-0074_c02,E-0074,PSY-03_D_2,PSY-03,D,2,True,PSY-03_D_2_c2
E-0074_c03,E-0074,PSY-03_D_2,PSY-03,D,2,True,PSY-03_D_2_c3
E-0074_c04,E-0074,PSY-03_D_2,PSY-03,D,2,True,PSY-03_D_2_c4
E-0075_c01,E-0075,BIO-04_A_2,BIO-04,A,2,False,BIO-04_A_2_c1
E-0075_c02,E-0075,BIO-04_A_2,BIO-04,A,2,False,BIO-04_A_2_c2
E-0075_c03,E-0075,BIO-04_A_2,BIO-04,A,2,False,BIO-04_A_2_c3
E-0075_c04,E-0075,BIO-04_A_2,BIO-04,A,2,False,BIO-04_A_2_c4
E-0075_c05,E-0075,BIO-04_A_2,BIO-04,A,2,False,BIO-04_A_2_c5
E-0075_c06,E-0075,BIO-04_A_2,BIO-04,A,2,False,BIO-04_A_2_c6
E-0076_c01,E-0076,PSY-01_D_2,PSY-01,D,2,True,PSY-01_D_2_c1
E-0076_c02,E-0076,PSY-01_D_2,PSY-01,D,2,True,PSY-01_D_2_c2
E-0076_c03,E-0076,PSY-01_D_2,PSY-01,D,2,True,PSY-01_D_2_c3
E-0077_c01,E-0077,PSY-04_D_2,PSY-04,D,2,True,PSY-04_D_2_c1
E-0077_c02,E-0077,PSY-04_D_2,PSY-04,D,2,True,PSY-04_D_2_c2
E-0077_c03,E-0077,PSY-04_D_2,PSY-04,D,2,True,PSY-04_D_2_c3
E-0077_c04,E-0077,PSY-04_D_2,PSY-04,D,2,True,PSY-04_D_2_c4
E-0077_c05,E-0077,PSY-04_D_2,PSY-04,D,2,True,PSY-04_D_2_c5
E-0078_c01,E-0078,PSY-01_A_1,PSY-01,A,1,False,PSY-01_A_1_c1
E-0078_c02,E-0078,PSY-01_A_1,PSY-01,A,1,False,PSY-01_A_1_c2
E-0079_c01,E-0079,BIO-04_C_2,BIO-04,C,2,True,BIO-04_C_2_c1
E-0079_c02,E-0079,BIO-04_C_2,BIO-04,C,2,True,BIO-04_C_2_c2
E-0079_c03,E-0079,BIO-04_C_2,BIO-04,C,2,True,BIO-04_C_2_c3
