
email_id,professor_id,condition_hidden,claim_id,atomic_claim,claim_type,evidence_excerpt,label_annotator_1,label_annotator_2,final_label,notes
E-0013,CS-03,full-01,E-0013_c02,Your research is on machine learning and applied AI,research_topic,,supported,,,
E-0014,PSY-02,full-01,E-0014_c01,The professor's research focuses on the cerebellum's role within the cerebello-basal ganglia-thalamo-cortical system.,research_topic,,supported,,,
E-0014,PSY-02,full-01,E-0014_c02,The professor has published a consensus paper discussing the interplay between these brain regions and their implications for motor and cognitive functions.,cross_paper_synthesis,,supported,,,
E-0014,PSY-02,full-01,E-0014_c03,The professor's research has highlighted how action observation therapy and motor imagery can enhance rehabilitation for Parkinson's disease.,result,,supported,,,
E-0015,CS-03,full-01,E-0015_c01,"The professor's research is on machine learning and applied AI, particularly in the context of quantum machine learning and its applications in healthcare.",research_topic,,supported,,,
E-0015,CS-03,full-01,E-0015_c02,The professor has done recent work on a systematic review of quantum machine learning applications in the biomedical domain.,research_topic,,supported,,,
E-0016,PSY-04,full-01,E-0016_c01,The professor's recent work is on the cognitive effects of stress on decision-making.,research_topic,,outside_evidence_scope,,,
E-0016,PSY-04,full-01,E-0016_c02,The professor explores how stress influences cognitive biases.,research_topic,,supported,,,
E-0016,PSY-04,full-01,E-0016_c03,The professor uses experimental designs and psychophysiological measures to uncover the relationships between stress and cognitive biases.,method,,outside_evidence_scope,,,
E-0017,CS-03,full-01,E-0017_c01,The professor's work focuses on the application of deep learning techniques to enhance decision-making processes in autonomous systems.,research_topic,,unsupported,,,
E-0017,CS-03,full-01,E-0017_c02,The professor has published a recent paper on reinforcement learning strategies for optimizing resource allocation in dynamic environments.,research_topic,,contradicted,,,
E-0018,CS-02,full-01,E-0018_c01,The professor's research focuses on artificial intelligence.,research_topic,,partially_supported,,,
E-0018,CS-02,full-01,E-0018_c02,The professor has conducted research on a specific topic or method relevant to the student.,research_topic,,supported,,,
E-0018,CS-02,full-01,E-0018_c03,The professor has used a specific method or technique in their research that the student finds inspiring.,method,,supported,,,
E-0018,CS-02,full-01,E-0018_c04,The student believes that working under the professor's guidance would provide invaluable experience and support their goal of making meaningful contributions to AI research.,impact,,supported,,,
E-0019,PSY-01,full-01,E-0019_c01,The professor's work focuses on the interplay between cognitive biases and decision-making.,research_topic,,unsupported,,,
E-0019,PSY-01,full-01,E-0019_c02,The professor has published a recent paper on the impact of framing effects.,research_topic,,unsupported,,,
E-0019,PSY-01,full-01,E-0019_c03,The professor uses experimental methods to study how subtle changes in presentation can significantly alter outcomes.,method,,unsupported,,,
E-0019,PSY-01,full-01,E-0019_c04,The student's research project investigated the effects of cognitive load on decision-making accuracy.,research_topic,,outside_evidence_scope,,,
E-0020,BIO-04,full-01,E-0020_c01,"The professor's research focuses on biomedicine, particularly osteopontin and cancer biology.",research_topic,,supported,,,
E-0020,BIO-04,full-01,E-0020_c02,The professor has studied the role of osteopontin in atherosclerosis and cardiac fibrosis.,research_topic,,supported,,,
E-0020,BIO-04,full-01,E-0020_c03,The professor explores the molecular mechanisms that underlie disease progression.,research_topic,,supported,,,
E-0020,BIO-04,full-01,E-0020_c04,The professor employs methodologies in the analysis of gene expression and pathway interactions.,method,,supported,,,
E-0021,CS-03,full-01,E-0021_c01,"The professor's research is on machine learning and applied AI, particularly in the context of quantum machine learning and its applications in healthcare.",research_topic,,supported,,,
E-0021,CS-03,full-01,E-0021_c02,"The professor has recently published a systematic review on ""Quantum Machine Learning Applications in the Biomedical Domain"".",authorship,,supported,,,
E-0021,CS-03,full-01,E-0021_c03,"Quantum algorithms can enhance data processing capabilities, as mentioned in the professor's research.",result,,supported,,,
E-0022,PSY-02,full-01,E-0022_c01,The professor's research focuses on the cognitive mechanisms underlying decision-making processes.,research_topic,,unsupported,,,
E-0022,PSY-02,full-01,E-0022_c02,The professor's research explores the interplay between emotion and cognition.,research_topic,,unsupported,,,
E-0022,PSY-02,full-01,E-0022_c03,The professor has published recent work on the topic of emotional factors influencing cognitive bias.,research_topic,,unsupported,,,
E-0023,CS-02,full-01,E-0023_c01,The professor's research is on specific topic,research_topic,,supported,,,
E-0023,CS-02,full-01,E-0023_c02,The professor has recent findings on a relevant paper or topic,research_topic,,supported,,,
E-0023,CS-02,full-01,E-0023_c03,The student has taken graduate coursework in machine learning and natural language processing,,,outside_evidence_scope,,,
E-0023,CS-02,full-01,E-0023_c04,The student's recent project explored a relevant research project or experience,,,supported,,,
E-0023,CS-02,full-01,E-0023_c05,The student's recent project deepened their understanding of relevant methods or findings,,,outside_evidence_scope,,,
E-0024,CS-01,full-01,E-0024_c01,The professor's research is on artificial intelligence and its application in complex systems.,research_topic,,supported,,,
E-0024,CS-01,full-01,E-0024_c02,The professor has done recent work on a specific paper or topic.,research_topic,,supported,,,
E-0024,CS-01,full-01,E-0024_c03,The professor explored specific findings or methods in their recent work.,research_topic,,supported,,,
E-0024,CS-01,full-01,E-0024_c04,The professor used specific methods or techniques to address a specific problem or question.,method,,supported,,,
E-0025,PSY-03,full-01,E-0025_c01,The professor's research focuses on the cognitive processes underlying decision-making and the impact of social influences on psychological outcomes.,research_topic,,partially_supported,,,
E-0025,PSY-03,full-01,E-0025_c02,The professor has published a recent paper on the role of social validation in enhancing individual performance.,research_topic,,unsupported,,,
E-0025,PSY-03,full-01,E-0025_c03,The professor employed methodologies to analyze the interplay between social cues and cognitive bias.,method,,unsupported,,,
E-0025,PSY-03,full-01,E-0025_c04,The student recently completed a small research project that explored how group dynamics influence individual decision-making.,research_topic,,outside_evidence_scope,,,
